"","year","month","date_of_month","day_of_week","births"
"1",2000,1,1,6,9083
"2",2000,1,2,7,8006
"3",2000,1,3,1,11363
"4",2000,1,4,2,13032
"5",2000,1,5,3,12558
"6",2000,1,6,4,12466
"7",2000,1,7,5,12516
"8",2000,1,8,6,8934
"9",2000,1,9,7,7949
"10",2000,1,10,1,11668
"11",2000,1,11,2,12611
"12",2000,1,12,3,12398
"13",2000,1,13,4,11815
"14",2000,1,14,5,12180
"15",2000,1,15,6,8525
"16",2000,1,16,7,7657
"17",2000,1,17,1,10824
"18",2000,1,18,2,12350
"19",2000,1,19,3,12405
"20",2000,1,20,4,12506
"21",2000,1,21,5,11953
"22",2000,1,22,6,8855
"23",2000,1,23,7,7856
"24",2000,1,24,1,11449
"25",2000,1,25,2,12593
"26",2000,1,26,3,12143
"27",2000,1,27,4,12408
"28",2000,1,28,5,11934
"29",2000,1,29,6,8805
"30",2000,1,30,7,7764
"31",2000,1,31,1,11133
"32",2000,2,1,2,12614
"33",2000,2,2,3,12465
"34",2000,2,3,4,12062
"35",2000,2,4,5,12035
"36",2000,2,5,6,8624
"37",2000,2,6,7,7862
"38",2000,2,7,1,11630
"39",2000,2,8,2,12879
"40",2000,2,9,3,12315
"41",2000,2,10,4,12612
"42",2000,2,11,5,12411
"43",2000,2,12,6,8836
"44",2000,2,13,7,7933
"45",2000,2,14,1,12152
"46",2000,2,15,2,13017
"47",2000,2,16,3,12504
"48",2000,2,17,4,12520
"49",2000,2,18,5,12406
"50",2000,2,19,6,8861
"51",2000,2,20,7,7943
"52",2000,2,21,1,10610
"53",2000,2,22,2,12664
"54",2000,2,23,3,12252
"55",2000,2,24,4,12423
"56",2000,2,25,5,12204
"57",2000,2,26,6,9026
"58",2000,2,27,7,7836
"59",2000,2,28,1,11455
"60",2000,2,29,2,11895
"61",2000,3,1,3,12672
"62",2000,3,2,4,12524
"63",2000,3,3,5,12390
"64",2000,3,4,6,9054
"65",2000,3,5,7,7734
"66",2000,3,6,1,11375
"67",2000,3,7,2,12420
"68",2000,3,8,3,12338
"69",2000,3,9,4,12615
"70",2000,3,10,5,12152
"71",2000,3,11,6,8822
"72",2000,3,12,7,7937
"73",2000,3,13,1,11157
"74",2000,3,14,2,12773
"75",2000,3,15,3,12428
"76",2000,3,16,4,12431
"77",2000,3,17,5,12385
"78",2000,3,18,6,8677
"79",2000,3,19,7,7782
"80",2000,3,20,1,11595
"81",2000,3,21,2,12689
"82",2000,3,22,3,12272
"83",2000,3,23,4,12396
"84",2000,3,24,5,12327
"85",2000,3,25,6,9155
"86",2000,3,26,7,7815
"87",2000,3,27,1,11291
"88",2000,3,28,2,12650
"89",2000,3,29,3,12077
"90",2000,3,30,4,12071
"91",2000,3,31,5,11820
"92",2000,4,1,6,8388
"93",2000,4,2,7,7540
"94",2000,4,3,1,11397
"95",2000,4,4,2,12797
"96",2000,4,5,3,12209
"97",2000,4,6,4,12192
"98",2000,4,7,5,12213
"99",2000,4,8,6,8743
"100",2000,4,9,7,7759
"101",2000,4,10,1,11333
"102",2000,4,11,2,12850
"103",2000,4,12,3,12545
"104",2000,4,13,4,11907
"105",2000,4,14,5,12053
"106",2000,4,15,6,8887
"107",2000,4,16,7,7859
"108",2000,4,17,1,11322
"109",2000,4,18,2,12783
"110",2000,4,19,3,12562
"111",2000,4,20,4,12301
"112",2000,4,21,5,11257
"113",2000,4,22,6,8367
"114",2000,4,23,7,7483
"115",2000,4,24,1,11309
"116",2000,4,25,2,12488
